image_id,record_ids,file_path,description,source_id,source_page_url,asset_url,source_date,collected_at,license,notes
MULTI_IMG011,HUTB-C001,assets/hunan-universities-images/hutb-01.jpeg,湖南工商大学铭德食堂外观,MULTI_SRC101,https://www.sohu.com/a/419329394_676473,https://p3.itc.cn/q_70/images03/20200918/a51c2ee1271946878478f697a381b483.jpeg,2020-09-18,2026-07-18,未知,招牌可读
MULTI_IMG012,HUTB-C001,assets/hunan-universities-images/hutb-02.jpeg,北校区食堂窗口与学生排队场景,MULTI_SRC101,https://www.sohu.com/a/419329394_676473,http://p9.itc.cn/q_70/images03/20200918/839d1c0d5e8a44f1af42777e06e5103e.jpeg,2020-09-18,2026-07-18,未知,按原文铭德食堂段落顺序关联
MULTI_IMG013,HUTB-C001|HUTB-C003,assets/hunan-universities-images/hutb-03.jpeg,湖南工商大学北校区食堂就餐区,MULTI_SRC101,https://www.sohu.com/a/419329394_676473,http://p7.itc.cn/q_70/images03/20200918/55dd4bdd49bc4b409646eff643b2dbb2.jpeg,2020-09-18,2026-07-18,未知,具体食堂需按原文后续图序再次核验
MULTI_IMG014,CSU-C001|CSU-C004|CSU-S002,assets/hunan-universities-images/csu-01.jpeg,中南大学食堂菜品原文头图,MULTI_SRC202,https://www.sohu.com/a/529780379_121124771,https://p5.itc.cn/q_70/images03/20220314/22f99e1fffa040fa84780b2ef3a0bc0e.jpeg,2022-03-14,2026-07-18,未知,仅作为中南大学食堂菜品情境图
MULTI_IMG015,CSU-C001|CSU-C002|CSU-C003,assets/hunan-universities-images/csu-02.jpeg,中南大学校园钟楼与湖景,MULTI_SRC202,https://www.sohu.com/a/529780379_121124771,https://p2.itc.cn/q_70/images03/20220314/3b2aeda2b1644f54b2890e3c5929d3e3.jpeg,2022-03-14,2026-07-18,未知,校园情境图；不证明具体食堂现状
MULTI_IMG016,CSU-S001,assets/hunan-universities-images/csu-03.jpeg,中南大学食堂掉渣饼,MULTI_SRC202,https://www.sohu.com/a/529780379_121124771,https://p8.itc.cn/q_70/images03/20220314/7bdc4162bc6146cfadbf31968b0bbec1.jpeg,2022-03-14,2026-07-18,未知,图中文字可辨识掉渣饼
MULTI_IMG017,HNU-C001|HNU-C002|HNU-C003|HNU-C004|HNU-C005|HNU-C006,assets/hunan-universities-images/hnu-01.jpg,湖南大学食堂菜品展示头图,MULTI_SRC301,http://hnuef.hnu.edu.cn/info/1016/3070.htm,http://hnuef.hnu.edu.cn/__local/A/7A/CA/1B907625A0E50B41EC541907778_B5FA0D58_21DCC.jpg,2023-04-28,2026-07-18,未知,校方文章头图；具体菜名未标
MULTI_IMG018,HNU-C001,assets/hunan-universities-images/hnu-02.png,天马学生公寓一食堂糖醋鱼,MULTI_SRC301,http://hnuef.hnu.edu.cn/info/1016/3070.htm,http://hnuef.hnu.edu.cn/__local/3/3E/66/E301384A4536C4B9EEDDC51B7D9_FC26F797_32851.png,2023-04-28,2026-07-18,未知,按校方文章图文顺序关联
MULTI_IMG019,HNU-C003,assets/hunan-universities-images/hnu-03.png,德智园区食堂锅包肉,MULTI_SRC301,http://hnuef.hnu.edu.cn/info/1016/3070.htm,http://hnuef.hnu.edu.cn/__local/F/10/94/AE1C2C5BFAC5D488FFC30693065_79D8EB82_2BF0B.png,2023-04-28,2026-07-18,未知,图片自带“锅包肉”文字
MULTI_IMG020,HUNNU-C004,assets/hunan-universities-images/hunnu-03.png,湖南师大天马食堂自助菜展示,MULTI_SRC402,https://dxs.moe.gov.cn/zx/a/xyh_xyh_hnsfdxxw/210520/1697367.shtml,https://dxs.moe.gov.cn/zx/upload/resources/image/2021/05/20/7206406.png,2021-05-20,2026-07-18,未知,教育部大学生在线校园号原文图
MULTI_IMG021,HUNNU-C004,assets/hunan-universities-images/hunnu-04.png,天马食堂学生自选餐盘,MULTI_SRC402,https://dxs.moe.gov.cn/zx/a/xyh_xyh_hnsfdxxw/210520/1697367.shtml,https://dxs.moe.gov.cn/zx/upload/resources/image/2021/05/20/7206407.png,2021-05-20,2026-07-18,未知,按自助炒菜段落图序关联
MULTI_IMG022,HUNNU-C004,assets/hunan-universities-images/hunnu-05.png,天马食堂自助炒菜窗口菜品,MULTI_SRC402,https://dxs.moe.gov.cn/zx/a/xyh_xyh_hnsfdxxw/210520/1697367.shtml,https://dxs.moe.gov.cn/zx/upload/resources/image/2021/05/20/7206408.png,2021-05-20,2026-07-18,未知,按自助炒菜段落图序关联
MULTI_IMG023,HUNNU-C004,assets/hunan-universities-images/hunnu-06.png,天马食堂玉米排骨焖菜,MULTI_SRC402,https://dxs.moe.gov.cn/zx/a/xyh_xyh_hnsfdxxw/210520/1697367.shtml,https://dxs.moe.gov.cn/zx/upload/resources/image/2021/05/20/7206409.png,2021-05-20,2026-07-18,未知,菜名依据画面识别并标为描述而非菜单事实
MULTI_IMG024,HUNNU-C004,assets/hunan-universities-images/hunnu-07.png,天马食堂自选焖菜锅,MULTI_SRC402,https://dxs.moe.gov.cn/zx/a/xyh_xyh_hnsfdxxw/210520/1697367.shtml,https://dxs.moe.gov.cn/zx/upload/resources/image/2021/05/20/7206410.png,2021-05-20,2026-07-18,未知,按自选焖菜段落图序关联
